Group	Scan Group	Scan Identity	Res	Issue Images
13	CCR-2-B3	CCR-2-0085	204	[27, 40, 66, 120, 133, 134]
13	CCR-2-B3	CCR-2-0086	163	[27, 40, 66, 120, 133, 134]
13	CCR-2-B3	CCR-2-0087	136	[27, 40, 66, 120, 133, 134]
13	CCR-2-B3	CCR-2-0088	116	[27, 40, 66, 120, 134]
13	CCR-2-B3	CCR-2-0089	101	[27, 40, 66, 120, 133, 134]
13	CCR-2-B3	CCR-2-0090	90	[27, 40, 66, 120, 133, 134]
13	CCR-2-B3	CCR-2-0091	81	[27, 40, 66, 120, 133, 134]
14	CCR-2-B3	CCR-2-0092	204	[10, 30, 50]
14	CCR-2-B3	CCR-2-0093	163	[10, 30, 50]
14	CCR-2-B3	CCR-2-0094	136	[10, 29, 30, 40, 50]
14	CCR-2-B3	CCR-2-0095	116	[10, 29, 30, 40, 50]
14	CCR-2-B3	CCR-2-0096	101	[10, 29, 30, 40, 50]
14	CCR-2-B3	CCR-2-0097	90	[10, 29, 30, 40, 50]
14	CCR-2-B3	CCR-2-0098	81	[10, 29, 30, 40, 50]
15	CCR-2-B3	CCR-2-0099	204	[7, 14, 20, 33, 66]
15	CCR-2-B3	CCR-2-0100	163	[7, 14, 20, 33, 66]
15	CCR-2-B3	CCR-2-0101	136	[7, 14, 20, 33, 66]
15	CCR-2-B3	CCR-2-0102	116	[7, 14, 20, 34]
15	CCR-2-B3	CCR-2-0103	101	[7, 14, 20, 33, 66]
15	CCR-2-B3	CCR-2-0104	90	[7, 14, 20, 33]
15	CCR-2-B3	CCR-2-0105	81	[7, 14, 20, 33, 66]
16	CCR-2-B3	CCR-2-0106	202	[27, 40, 66, 134]
16	CCR-2-B3	CCR-2-0107	162	[27, 40, 66, 134]
16	CCR-2-B3	CCR-2-0108	135	[27, 40, 66, 134]
16	CCR-2-B3	CCR-2-0109	101	[27, 40, 66, 134]
16	CCR-2-B3	CCR-2-0110	81	[27, 40, 66, 134]
17	CCR-2-B3	CCR-2-0111	203	[30]
17	CCR-2-B3	CCR-2-0112	162	[30]
17	CCR-2-B3	CCR-2-0113	135	[30]
17	CCR-2-B3	CCR-2-0114	101	[30]
17	CCR-2-B3	CCR-2-0115	81	[30]
18	CCR-2-B3	CCR-2-0116	203	[7, 14, 21, 33]
18	CCR-2-B3	CCR-2-0117	162	[7, 14, 21, 33]
18	CCR-2-B3	CCR-2-0118	135	[7, 14, 21, 33]
18	CCR-2-B3	CCR-2-0119	101	[7, 14, 21, 33]
18	CCR-2-B3	CCR-2-0120	81	[7, 14, 21, 33]
19	CCR-2-B4	CCR-2-0121	204	[17, 76, 134]
19	CCR-2-B4	CCR-2-0122	164	[27, 66, 134]
19	CCR-2-B4	CCR-2-0123	136	[27, 66, 134]
19	CCR-2-B4	CCR-2-0124	124	[27, 66, 134]
19	CCR-2-B4	CCR-2-0125	102	[27, 66, 134]
19	CCR-2-B4	CCR-2-0126	90	[27, 66, 134]
19	CCR-2-B4	CCR-2-0127	82	[27, 66, 134]
20	CCR-2-B4	CCR-2-0128	204	[10, 29, 30, 50]
20	CCR-2-B4	CCR-2-0129	163	[10, 29, 30, 50]
20	CCR-2-B4	CCR-2-0130	136	[10, 29, 30, 50]
20	CCR-2-B4	CCR-2-0131	116	[10, 29, 30, 50]
20	CCR-2-B4	CCR-2-0132	102	[10, 29, 30, 50]
20	CCR-2-B4	CCR-2-0133	90	[10, 29, 30, 50]
20	CCR-2-B4	CCR-2-0134	82	[10, 29, 30, 50]
21	CCR-2-B4	CCR-2-0135	204	[21]
21	CCR-2-B4	CCR-2-0136	164	[21]
21	CCR-2-B4	CCR-2-0137	136	[21]
21	CCR-2-B4	CCR-2-0138	116	[21]
21	CCR-2-B4	CCR-2-0139	102	[21]
21	CCR-2-B4	CCR-2-0140	90	[21]
21	CCR-2-B4	CCR-2-0141	82	[21]
22	CCR-2-B4	CCR-2-0142	204	[14, 15, 16, 27, 40, 54, 67, 134]
22	CCR-2-B4	CCR-2-0143	164	[14, 15, 16, 27, 40, 54, 67, 134]
