Group	Scan Group	Scan Identity	Res	Sections
27	CCR-2-B5	CCR-2-0186	163	[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]
27	CCR-2-B5	CCR-2-0187	164	[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]
28	CCR-2-B5	CCR-2-0188	164	[13, 14, 14, 14, 14, 13, 13, 13, 14, 13]
28	CCR-2-B5	CCR-2-0189	164	[13, 14, 14, 14, 14, 13, 13, 13, 14, 13]
28	CCR-2-B5	CCR-2-0190	162	[13, 14, 14, 14, 14, 13, 13, 13, 14, 13]
28	CCR-2-B5	CCR-2-0191	164	[13, 14, 14, 14, 14, 13, 13, 13, 14, 13]
28	CCR-2-B5	CCR-2-0192	164	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B5	CCR-2-0193	164	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B5	CCR-2-0194	164	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B5	CCR-2-0195	164	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B5	CCR-2-0196	164	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B5	CCR-2-0197	164	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B5	CCR-2-0198	164	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B5	CCR-2-0199	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B5	CCR-2-0200	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0201	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0202	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0203	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0204	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0205	163	[14, 13, 13, 14, 13, 13, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0206	163	[14, 13, 13, 14, 13, 13, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0207	163	[14, 13, 13, 14, 13, 13, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0208	163	[14, 13, 13, 14, 13, 13, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0209	163	[14, 13, 13, 14, 13, 13, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0210	163	[14, 13, 13, 14, 13, 13, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0211	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
28	CCR-2-B6	CCR-2-0212	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
